,Unnamed: 0,datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Milking_Time(seconds),Avg_Milking_Time(seconds),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr),monetary_worth
74028,150845,2018-03-06,1476396798,97,1,157,Milk,Not for Insemination,6795.0,839.0,3.85,2.46,3.06,2.1,4.11,2.94,10.6,10.8,214.0,308.0,179.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4010.0584891560793
74030,150847,2018-03-06,1476396800,97,2,140,Milk,Pregnant,16365.0,1923.0,3.09,3.01,2.95,3.09,4.11,4.23,9.9,10.0,289.0,246.0,105.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,12681.116606002844
74032,150849,2018-03-06,1476396802,97,6,133,Milk,Not for Insemination,12481.0,1446.0,3.26,3.06,3.24,3.17,4.17,4.1,10.8,10.8,201.0,216.0,105.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,12005.461658752534
74035,150853,2018-03-06,1476396806,97,5,174,Milk,Not for Insemination,8912.0,1053.0,3.39,3.57,3.02,3.02,4.38,4.23,10.2,11.3,135.0,148.0,106.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8334.131082199468
74036,150855,2018-03-06,1476396808,97,4,257,Milk,Not for Insemination,8114.0,955.0,3.96,3.12,3.17,2.82,4.1,3.55,12.9,12.3,179.0,174.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5985.473403978256
74038,150857,2018-03-06,1476396810,97,4,60,Milk,Not for Insemination,6979.0,824.0,4.17,4.01,2.96,2.75,4.56,4.28,10.1,10.0,129.0,133.0,128.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5284.337691266347
74040,150859,2018-03-06,1476396812,97,4,249,Milk,Not for Insemination,12966.0,1528.0,3.82,3.73,3.09,3.21,4.62,4.58,9.0,8.8,202.0,199.0,170.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,11814.800108116624
74042,150861,2018-03-06,1476396814,97,3,252,Milk,Not for Insemination,8401.0,992.0,3.34,3.31,2.9,2.99,4.57,4.52,10.6,10.4,131.0,137.0,118.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5284.638492763129
74044,150865,2018-03-06,1476396818,97,2,126,Milk,Pregnant,14063.0,1651.0,3.93,4.24,3.0,3.43,4.54,4.32,10.8,11.1,220.0,201.0,87.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,13416.275312296151
74048,150873,2018-03-06,1476396826,97,2,217,Milk,Not for Insemination,8366.0,997.0,3.81,3.5,3.18,3.26,4.45,4.3,10.0,10.8,160.0,164.0,103.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7258.386211607924
74052,150883,2018-03-06,1476396838,97,2,193,Milk,Pregnant,3657.0,451.0,3.14,1.79,2.62,2.34,4.07,3.53,17.2,15.2,127.0,131.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2760.457501589788
74053,150884,2018-03-06,1476396840,97,1,151,Milk,Pregnant,10032.0,141.0,4.04,3.1,3.15,2.63,4.37,3.82,9.8,8.8,255.0,161.0,204.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,780.0576154142791
74055,150888,2018-03-06,1476396846,97,1,59,Milk,Not for Insemination,5772.0,505.0,4.32,2.22,3.39,2.24,4.24,3.65,12.4,12.8,129.0,188.0,514.0,126.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2601.0539662056976
74057,150892,2018-03-06,1476396850,97,1,39,Milk,Not for Insemination,3839.0,241.0,2.72,2.25,2.62,2.6,3.88,3.52,9.2,10.4,182.0,192.0,145.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1470.4063593407382
183956,282841,2018-08-25,1476396963,97,2,231,Milk,Not for Insemination,21536.0,897.0,3.22,3.13,2.96,2.92,4.31,4.2,11.2,11.6,196.0,174.0,256.0,8.0,15.0,40.0,42.0,45.0,598.0,0.0,4965.18909258123
183958,282843,2018-08-25,1476396965,97,2,203,Milk,Pregnant,13060.0,544.0,4.39,4.04,2.79,2.38,4.31,3.77,11.3,10.6,140.0,143.0,268.0,31.0,7.0,67.0,33.0,57.0,472.0,0.0,2010.639131604285
183960,282845,2018-08-25,1476396967,97,6,313,Milk,Pregnant,22847.0,951.0,4.1,3.63,3.04,2.93,4.39,4.42,12.5,11.5,212.0,191.0,206.0,69.0,8.0,95.0,53.0,23.0,763.0,0.0,6564.126334875577
183962,282847,2018-08-25,1476396969,97,5,266,Milk,Not for Insemination,15746.0,656.0,4.26,3.81,3.23,2.99,4.26,4.07,10.9,12.2,313.0,246.0,171.0,15.0,10.0,60.0,41.0,32.0,595.0,0.0,3184.702752230702
183964,282851,2018-08-25,1476396973,97,5,154,Milk,Insemination,14304.0,344.0,3.56,3.67,3.46,3.18,4.33,4.62,9.5,9.9,296.0,227.0,295.0,65.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2109.424474013409
183965,282853,2018-08-25,1476396975,97,5,256,Milk,Insemination,44852.0,1868.0,2.62,2.92,2.94,2.94,4.35,4.34,11.9,12.0,298.0,277.0,171.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,10990.93091162092
183967,282855,2018-08-25,1476396977,97,4,156,Milk,Pregnant,31720.0,1321.0,3.7,3.55,3.01,3.04,4.36,4.32,10.8,10.5,208.0,209.0,161.0,-1.0,10.0,65.0,45.0,26.0,649.0,0.0,6696.303762533996
183968,282857,2018-08-25,1476396979,97,3,326,Milk,Not for Insemination,23000.0,958.0,3.69,3.81,2.92,2.92,4.52,4.5,11.2,11.1,134.0,136.0,158.0,-4.0,8.0,72.0,40.0,34.0,580.0,0.0,5739.32500744321
183970,282859,2018-08-25,1476396981,97,2,329,Milk,Not for Insemination,21684.0,903.0,3.45,3.67,2.81,2.83,4.55,4.53,12.1,12.2,143.0,136.0,167.0,27.0,7.0,104.0,51.0,23.0,730.0,0.0,4816.387821338158
183972,282861,2018-08-25,1476396983,97,3,247,Milk,Pregnant,15902.0,662.0,4.51,4.39,3.46,3.33,4.48,4.41,11.5,11.7,186.0,146.0,110.0,31.0,9.0,78.0,51.0,17.0,706.0,0.0,4094.797113234925
183974,282863,2018-08-25,1476396985,97,3,215,Milk,Not for Insemination,23208.0,967.0,3.87,3.74,2.88,2.97,4.15,3.76,13.2,13.1,204.0,176.0,365.0,20.0,5.0,129.0,49.0,52.0,646.0,0.0,6283.465411130102
183975,282865,2018-08-25,1476396987,97,3,244,Milk,Pregnant,25772.0,1073.0,3.44,3.52,2.98,2.93,4.41,4.49,10.5,10.2,213.0,206.0,168.0,18.0,7.0,88.0,43.0,33.0,616.0,0.0,6129.022020504076
183977,282867,2018-08-25,1476396989,97,2,284,Dry,Abortion,16160.0,293.0,4.4,4.38,3.32,3.3,4.42,4.41,12.4,11.5,175.0,167.0,213.0,3.0,5.0,92.0,31.0,54.0,460.0,0.0,1484.740802405771
183978,282870,2018-08-25,1476396993,97,2,341,Milk,Not for Insemination,7567.0,315.0,3.89,3.64,2.96,2.98,4.62,4.49,11.4,12.4,126.0,137.0,182.0,9.0,9.0,79.0,50.0,27.0,714.0,0.0,2109.032441479413
183979,282874,2018-08-25,1476396997,97,1,629,Milk,Not for Insemination,14313.0,363.0,3.28,4.02,2.96,3.12,4.7,4.65,10.0,9.8,171.0,144.0,210.0,14.0,9.0,76.0,48.0,30.0,685.0,0.0,2465.3863560873237
183981,282876,2018-08-25,1476396999,97,2,270,Milk,Pregnant,8410.0,350.0,3.28,3.85,3.04,3.11,4.33,4.32,10.7,11.1,199.0,236.0,256.0,15.0,9.0,69.0,43.0,41.0,619.0,0.0,1667.683182373727
183985,282882,2018-08-25,1476397005,97,1,295,Milk,Not for Insemination,32677.0,1361.0,4.58,4.66,2.91,2.74,4.82,4.79,9.8,9.4,219.0,199.0,190.0,6.0,6.0,114.0,45.0,32.0,682.0,0.0,6246.968236641173
183989,282888,2018-08-25,1476397011,97,1,356,Milk,Not for Insemination,20380.0,849.0,3.7,3.73,2.95,2.95,4.74,4.74,10.8,9.9,157.0,135.0,179.0,14.0,14.0,69.0,66.0,17.0,964.0,0.0,4808.540062154009
183991,282890,2018-08-25,1476397013,97,1,236,Milk,Not for Insemination,11853.0,255.0,3.64,3.87,3.11,3.11,4.26,4.29,12.2,11.8,193.0,176.0,141.0,36.0,8.0,77.0,43.0,26.0,619.0,0.0,1745.4524239380953
183992,282892,2018-08-25,1476397015,97,1,156,Milk,Pregnant,24272.0,1011.0,3.21,3.32,2.96,2.97,4.44,4.45,11.0,10.3,209.0,192.0,201.0,-10.0,8.0,82.0,46.0,36.0,655.0,0.0,7416.908100638874
183994,282895,2018-08-25,1476397019,97,1,66,Milk,Not for Insemination,7240.0,301.0,2.5,3.33,2.55,2.67,4.53,4.01,10.3,10.8,212.0,206.0,250.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1272.830550902701
183996,282897,2018-08-25,1476397021,97,1,130,Milk,Not for Insemination,33503.0,1387.0,3.39,3.35,2.8,2.84,4.56,4.57,10.0,10.0,165.0,165.0,171.0,24.0,10.0,59.0,41.0,31.0,589.0,0.0,7817.345291478604
185241,284435,2018-08-26,1476396963,97,2,232,Milk,Not for Insemination,8106.0,981.0,3.37,3.32,2.88,2.89,4.21,4.24,11.3,11.8,193.0,171.0,206.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6995.619213108404
185243,284437,2018-08-26,1476396965,97,2,204,Milk,Pregnant,5805.0,722.0,4.17,4.38,2.75,2.78,4.38,4.36,11.2,10.9,137.0,142.0,190.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4999.9822207896805
185245,284439,2018-08-26,1476396967,97,6,314,Milk,Pregnant,8805.0,1089.0,3.19,3.57,3.09,2.94,4.39,4.37,11.0,11.4,154.0,190.0,127.0,32.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6609.550789979909
185247,284441,2018-08-26,1476396969,97,5,267,Milk,Not for Insemination,5003.0,607.0,3.6,3.91,3.16,3.03,4.34,4.16,11.8,12.0,230.0,245.0,140.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2799.313196598964
185249,284447,2018-08-26,1476396975,97,5,257,Milk,Insemination,12726.0,1576.0,2.86,2.81,2.86,3.01,4.35,4.31,12.0,11.8,233.0,302.0,57.0,-57.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,11378.42486644015
185251,284449,2018-08-26,1476396977,97,4,157,Milk,Pregnant,12548.0,1560.0,4.32,3.56,3.09,3.08,4.41,4.35,10.7,10.5,226.0,211.0,93.0,-27.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,8964.721376896468
185252,284451,2018-08-26,1476396979,97,3,327,Milk,Not for Insemination,7838.0,953.0,3.75,3.74,2.9,2.92,4.59,4.56,11.4,11.0,128.0,142.0,110.0,-32.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6542.42809517962
185254,284453,2018-08-26,1476396981,97,2,330,Milk,Not for Insemination,8243.0,998.0,3.61,3.66,2.81,2.83,4.46,4.49,12.4,12.5,129.0,141.0,140.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5007.341835764413
185256,284455,2018-08-26,1476396983,97,3,248,Milk,Pregnant,5744.0,708.0,3.95,4.74,3.29,3.43,4.69,4.61,10.8,11.5,127.0,140.0,62.0,-27.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5208.258181311676
185258,284457,2018-08-26,1476396985,97,3,216,Milk,Not for Insemination,8150.0,991.0,3.56,3.48,2.81,2.9,4.26,3.67,13.3,12.9,197.0,179.0,184.0,-32.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5558.315357516529
185260,284461,2018-08-26,1476396989,97,2,284,Dry,Abortion,9008.0,1094.0,4.0,4.4,3.27,3.32,4.62,4.42,11.4,11.2,167.0,176.0,190.0,-7.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5968.267239380983
185266,284476,2018-08-26,1476397005,97,1,296,Milk,Not for Insemination,18011.0,796.0,5.13,4.64,2.84,2.77,4.47,4.79,9.6,9.5,197.0,203.0,307.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5488.250936480222
185270,284482,2018-08-26,1476397011,97,1,357,Milk,Not for Insemination,8371.0,350.0,3.99,3.72,2.91,2.94,4.76,4.75,10.0,10.0,146.0,134.0,238.0,85.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1640.2407787542768
185272,284484,2018-08-26,1476397013,97,1,237,Milk,Not for Insemination,8148.0,1029.0,3.4,3.64,3.27,3.11,4.49,4.26,10.9,12.1,160.0,175.0,93.0,-9.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4890.344735918867
185273,284486,2018-08-26,1476397015,97,1,157,Milk,Pregnant,8219.0,1039.0,3.49,3.37,2.82,2.91,4.47,4.49,10.3,10.4,205.0,192.0,148.0,-14.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7115.060176136822
212232,319084,2018-09-17,1476396998,97,3,355,Milk,Not for Insemination,27299.0,1137.0,4.04,3.97,3.36,3.18,4.36,4.01,13.9,11.2,212.0,169.0,313.0,-3.0,10.0,70.0,48.0,47.0,703.0,0.0,7158.853242630365
212234,319088,2018-09-17,1476397010,97,3,282,Milk,Not for Insemination,28246.0,1176.0,4.3,4.13,3.44,3.2,4.43,4.26,9.9,9.2,186.0,149.0,193.0,-18.0,8.0,81.0,45.0,32.0,648.0,0.0,9636.33481095735
212235,319091,2018-09-17,1476397016,97,3,285,Milk,Not for Insemination,22966.0,956.0,4.44,4.29,2.97,2.78,4.68,4.48,11.9,11.5,137.0,139.0,199.0,7.0,8.0,63.0,35.0,41.0,501.0,0.0,6177.108921837065
212236,319092,2018-09-17,1476397020,97,3,217,Milk,Not for Insemination,27874.0,1161.0,2.19,2.98,2.46,2.74,3.89,3.7,13.5,13.0,234.0,173.0,193.0,13.0,11.0,29.0,22.0,66.0,318.0,0.0,4832.739551058605
212238,319094,2018-09-17,1476397023,97,2,376,Milk,Not for Insemination,26345.0,1097.0,3.57,3.81,2.99,2.94,4.47,4.45,11.1,10.5,207.0,185.0,201.0,6.0,6.0,84.0,35.0,44.0,502.0,0.0,8045.433562059296
212240,319098,2018-09-17,1476397027,97,2,217,Milk,Not for Insemination,21851.0,910.0,4.25,4.13,3.43,3.24,4.32,4.23,9.7,9.2,166.0,155.0,142.0,-7.0,8.0,88.0,49.0,24.0,706.0,0.0,6902.515964582338
212244,319102,2018-09-17,1476397031,97,1,52,Milk,Not for Insemination,10631.0,442.0,4.09,4.37,3.41,3.41,4.28,4.17,11.3,10.5,161.0,160.0,196.0,-1.0,13.0,58.0,54.0,27.0,748.0,0.0,2753.204539573634
212246,319104,2018-09-17,1476397033,97,1,89,Milk,Not for Insemination,11511.0,479.0,3.94,3.08,2.97,2.66,4.6,4.23,8.9,8.9,177.0,177.0,147.0,-16.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2998.5909917172057
212248,319106,2018-09-17,1476397035,97,1,46,Milk,Not for Insemination,15525.0,646.0,3.95,3.73,3.06,2.74,4.74,4.29,9.0,8.6,224.0,184.0,147.0,7.0,19.0,47.0,59.0,20.0,890.0,0.0,3981.63881167168
212250,319108,2018-09-17,1476397037,97,1,35,Milk,Not for Insemination,8810.0,367.0,3.75,3.13,3.2,3.11,4.12,4.1,14.6,12.7,208.0,166.0,260.0,10.0,12.0,65.0,54.0,31.0,778.0,0.0,2225.04911910791
212260,319121,2018-09-17,1476397051,97,2,79,Milk,Not for Insemination,25565.0,1065.0,4.41,3.56,3.32,3.14,4.18,4.2,12.2,10.1,300.0,196.0,455.0,159.0,10.0,35.0,24.0,112.0,348.0,0.0,7447.675702102948
213547,320658,2018-09-18,1476396998,97,3,356,Milk,Not for Insemination,10771.0,1308.0,3.46,3.85,3.33,3.19,4.35,4.13,11.6,11.7,202.0,185.0,247.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6585.0723619646205
213549,320660,2018-09-18,1476397010,97,3,283,Milk,Not for Insemination,8845.0,1074.0,3.57,4.16,3.46,3.21,4.33,4.18,9.0,9.0,137.0,137.0,171.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7587.730667105873
213550,320662,2018-09-18,1476397016,97,3,286,Milk,Not for Insemination,8712.0,1071.0,4.2,4.15,2.82,2.8,4.57,4.6,11.8,11.2,140.0,133.0,127.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7654.507890140687
213551,320663,2018-09-18,1476397020,97,3,218,Milk,Not for Insemination,11099.0,1364.0,2.11,2.11,2.27,2.09,3.67,2.84,13.6,13.2,250.0,171.0,173.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,7218.978400931658
213553,320665,2018-09-18,1476397023,97,2,377,Milk,Not for Insemination,8462.0,1002.0,3.38,3.79,2.98,2.96,4.45,4.52,10.3,10.6,180.0,179.0,138.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6223.300815969156
213555,320669,2018-09-18,1476397027,97,2,218,Milk,Not for Insemination,7532.0,927.0,4.26,4.31,3.5,3.41,4.29,4.38,9.6,8.9,163.0,148.0,102.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,6170.783626686427
213558,320673,2018-09-18,1476397031,97,1,53,Milk,Not for Insemination,3986.0,497.0,3.9,4.21,3.28,3.33,4.14,3.91,10.5,10.6,136.0,163.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3490.602005033393
213560,320675,2018-09-18,1476397033,97,1,90,Milk,Not for Insemination,3895.0,491.0,3.46,3.3,2.99,2.73,4.72,4.48,9.4,9.1,129.0,203.0,117.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2485.808406495316
213562,320677,2018-09-18,1476397035,97,1,47,Milk,Not for Insemination,3563.0,451.0,3.54,3.93,2.98,2.73,4.79,4.29,8.3,8.4,146.0,181.0,78.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2834.0932847555214
213564,320679,2018-09-18,1476397037,97,1,36,Milk,Not for Insemination,2800.0,343.0,2.82,3.12,2.85,3.12,3.73,4.28,16.6,12.4,177.0,172.0,123.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2223.199846925807
295472,421594,2018-11-22,11566,97,1,96,Milk,Pregnant,19905.0,829.0,3.71,3.65,3.2,3.15,4.6,4.65,8.8,8.7,199.0,195.0,254.0,7.0,9.0,63.0,39.0,43.0,567.0,0.0,6752.746986409893
295591,421732,2018-11-22,1476397118,97,3,255,Milk,Not for Insemination,18481.0,770.0,4.5,4.03,3.22,3.15,4.62,4.49,10.5,10.3,178.0,171.0,153.0,18.0,8.0,81.0,47.0,31.0,646.0,0.0,4865.034103373729
295593,421734,2018-11-22,1476397120,97,2,92,Milk,Not for Insemination,13284.0,553.0,4.13,4.12,3.28,3.05,3.93,4.09,11.9,10.8,178.0,220.0,299.0,10.0,10.0,52.0,36.0,68.0,523.0,0.0,4059.4997413822575
295594,421736,2018-11-22,1476397122,97,2,358,Milk,Pregnant,3879.0,115.0,4.95,3.77,3.46,3.02,4.05,4.54,9.8,10.0,182.0,181.0,291.0,99.0,9.0,112.0,68.0,20.0,1010.0,0.0,620.6731485103163
295596,421738,2018-11-22,1476397124,97,2,337,Milk,Not for Insemination,28220.0,1175.0,4.34,4.9,3.25,3.62,4.7,4.6,9.7,8.1,225.0,141.0,571.0,108.0,11.0,39.0,30.0,108.0,426.0,0.0,9616.09455479601
295597,421741,2018-11-22,1476397128,97,4,439,Milk,Not for Insemination,18501.0,770.0,4.11,4.14,3.22,3.24,4.61,4.63,10.8,9.8,132.0,130.0,160.0,19.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4140.404157107683
295599,421743,2018-11-22,1476397130,97,5,136,Milk,Not for Insemination,31276.0,1303.0,4.21,3.7,3.42,3.1,4.07,3.67,10.2,10.2,363.0,199.0,162.0,23.0,12.0,58.0,48.0,26.0,694.0,0.0,8518.380992474036
295602,421747,2018-11-22,1476397134,97,4,247,Milk,Pregnant,6462.0,151.0,5.84,4.41,3.38,3.29,3.51,4.47,10.3,9.7,170.0,148.0,223.0,40.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1220.8035669880794
295603,421748,2018-11-22,1476397136,97,3,131,Milk,Insemination,2594.0,308.0,5.17,4.59,3.11,2.88,4.43,4.66,9.7,9.2,129.0,180.0,103.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1320.1731824631545
295605,421750,2018-11-22,1476397138,97,2,449,Milk,Not for Insemination,19804.0,825.0,3.7,3.88,3.23,3.26,4.32,4.37,10.4,11.0,164.0,142.0,213.0,12.0,10.0,77.0,53.0,28.0,769.0,0.0,6914.017580646188
295606,421752,2018-11-22,1476397140,97,2,396,Milk,Not for Insemination,19859.0,827.0,4.87,5.11,3.5,3.52,4.53,4.63,9.8,9.0,140.0,136.0,449.0,127.0,4.0,60.0,17.0,155.0,240.0,0.0,4344.609411744212
295607,421754,2018-11-22,1476397142,97,2,302,Milk,Not for Insemination,19228.0,801.0,4.68,4.52,3.38,3.23,4.52,4.57,9.9,9.8,165.0,132.0,286.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4309.785696000761
295608,421756,2018-11-22,1476397144,97,2,336,Milk,Not for Insemination,3745.0,442.0,5.01,4.42,3.03,3.28,4.12,4.59,10.4,9.8,122.0,154.0,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3123.3038359862635
