,Unnamed: 0,datesql,Animal_ID,Group_ID,Lactation_Num,DIM,AnimalStatus,Gynecology_Status,Yield(gr),ProdRate(gr/hr),Fat(%),Avg_Fat(%),Protein(%),Avg_Protein(%),Lactose,Avg_Lactose(%),Conductivity,Avg_Conductivity,Milking_Time(seconds),Avg_Milking_Time(seconds),Activity(steps/hr),ActivityDeviation(%),RestBout(#),RestPerBout(min),RestRatio(%),RestRestlessness,RestTime(min),Weight(gr),monetary_worth
12066,75172,2018-04-17,9157,11,2,260,Dry,Pregnant,15452.0,643.0,4.52,4.32,3.51,3.27,4.28,4.12,11.1,10.5,133.0,150.0,114.0,-1.0,4.0,74.0,82.0,10.0,297.0,0.0,3433.8748925182767
12203,75332,2018-04-17,9635,11,1,324,Dry,Pregnant,16914.0,704.0,4.54,4.67,3.4,3.38,4.59,4.61,10.1,9.6,130.0,140.0,151.0,30.0,4.0,62.0,51.0,21.0,249.0,0.0,6264.066444543532
12708,75932,2018-04-17,1476396927,11,3,225,Dry,Pregnant,22267.0,927.0,4.01,3.99,3.19,3.07,4.16,3.97,11.1,10.9,222.0,175.0,177.0,49.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4587.154183889759
12766,76005,2018-04-17,1476397014,11,2,290,Dry,Pregnant,16812.0,700.0,4.34,3.93,3.44,3.25,4.37,4.09,12.8,12.2,193.0,153.0,134.0,-1.0,2.0,137.0,57.0,17.0,274.0,0.0,4830.816763990988
12947,76225,2018-04-17,1476397290,11,1,240,Dry,Pregnant,14610.0,608.0,3.5,3.36,3.21,3.11,4.35,4.23,9.2,9.4,129.0,131.0,145.0,7.0,5.0,55.0,58.0,15.0,273.0,0.0,4973.759545729398
13328,76693,2018-04-18,8924,11,2,263,Dry,Pregnant,5379.0,224.0,4.47,3.69,3.18,3.02,4.22,3.86,10.3,10.1,130.0,133.0,184.0,70.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1668.483884108149
13367,76751,2018-04-18,9157,11,2,260,Dry,Pregnant,6814.0,283.0,5.18,4.58,3.5,3.51,4.24,4.4,11.3,10.4,134.0,147.0,336.0,137.0,8.0,88.0,49.0,35.0,700.0,0.0,2325.751336825842
13504,76911,2018-04-18,9635,11,1,324,Dry,Pregnant,9430.0,392.0,5.37,4.73,3.4,3.4,4.66,4.6,9.4,9.4,134.0,141.0,224.0,90.0,6.0,100.0,42.0,33.0,597.0,0.0,2044.2443628302196
14008,77513,2018-04-18,1476396927,11,3,225,Dry,Pregnant,11064.0,461.0,3.69,3.94,3.13,3.01,4.13,3.85,11.0,11.0,179.0,165.0,216.0,74.0,9.0,55.0,34.0,43.0,496.0,,2069.3506327538007
14067,77586,2018-04-18,1476397014,11,2,290,Dry,Pregnant,7133.0,297.0,4.77,3.94,3.4,3.38,4.32,4.19,12.8,11.8,170.0,148.0,215.0,78.0,4.0,116.0,33.0,45.0,463.0,0.0,2404.2973635784074
14247,77806,2018-04-18,1476397290,11,1,240,Dry,Pregnant,9026.0,376.0,3.9,3.24,2.99,2.97,4.36,4.04,10.2,9.6,334.0,132.0,227.0,63.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1734.1055822979033
22273,87661,2018-04-25,7520,11,4,279,Dry,Pregnant,4115.0,171.0,3.53,3.39,3.13,2.99,3.93,4.16,11.8,12.3,129.0,130.0,258.0,87.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,814.8331978646131
22401,87821,2018-04-25,9011,11,2,289,Dry,Pregnant,8800.0,366.0,3.57,3.02,2.75,2.57,3.31,3.63,12.1,12.0,133.0,155.0,218.0,166.0,10.0,62.0,43.0,30.0,616.0,0.0,2279.53650473357
22546,88000,2018-04-25,9586,11,1,380,Dry,Pregnant,7336.0,305.0,4.68,4.32,3.26,3.28,4.32,4.45,10.9,10.8,145.0,145.0,390.0,210.0,12.0,45.0,39.0,60.0,537.0,0.0,2530.9235249128856
23174,88754,2018-04-25,1476397069,11,2,339,Dry,Pregnant,7119.0,296.0,4.15,3.02,3.15,2.4,3.8,3.06,11.5,11.3,135.0,149.0,313.0,168.0,11.0,54.0,41.0,49.0,595.0,0.0,1128.6765924800734
30045,97144,2018-01-05,5797,11,3,246,Dry,Pregnant,15505.0,646.0,3.35,3.38,3.35,3.15,3.14,4.03,12.1,12.5,179.0,141.0,143.0,17.0,4.0,59.0,49.0,24.0,235.0,0.0,3071.504088287502
30264,97413,2018-01-05,8989,11,2,380,Dry,Pregnant,17422.0,725.0,3.43,3.4,3.06,2.93,4.25,3.95,11.4,11.1,152.0,137.0,224.0,67.0,2.0,150.0,63.0,19.0,301.0,0.0,3694.648495058944
30369,97548,2018-01-05,9443,11,1,364,Dry,Pregnant,9022.0,375.0,4.05,3.94,3.3,2.92,3.28,3.85,10.8,10.5,132.0,143.0,132.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1975.0215421843589
30473,97680,2018-01-05,9765,11,1,316,Dry,Pregnant,15534.0,647.0,3.34,2.91,2.9,2.67,4.18,3.72,10.7,9.8,191.0,179.0,229.0,37.0,4.0,90.0,72.0,16.0,358.0,0.0,3789.574926934211
31376,98749,2018-02-05,5797,11,3,246,Dry,Pregnant,6882.0,286.0,3.57,3.24,3.3,3.13,3.93,3.92,12.7,12.4,132.0,142.0,310.0,156.0,8.0,81.0,45.0,35.0,649.0,0.0,1462.5595769217682
31595,99018,2018-02-05,8989,11,2,380,Dry,Pregnant,9698.0,404.0,4.22,3.43,2.89,2.92,4.19,3.91,11.4,11.0,132.0,135.0,320.0,122.0,15.0,54.0,54.0,27.0,817.0,,2158.649088539546
31700,99153,2018-02-05,9443,11,1,364,Dry,Pregnant,7409.0,308.0,3.89,4.09,3.3,3.09,4.32,4.05,10.5,10.2,132.0,134.0,409.0,188.0,10.0,67.0,46.0,40.0,667.0,0.0,1813.5347532730968
31805,99285,2018-02-05,9765,11,1,316,Dry,Pregnant,5730.0,238.0,3.0,3.18,3.22,2.82,4.2,4.01,10.2,9.7,189.0,178.0,297.0,69.0,11.0,76.0,59.0,28.0,838.0,,1101.743059120112
39428,108687,2018-08-05,9079,11,2,317,Dry,Pregnant,13111.0,546.0,3.7,3.75,3.27,3.04,3.79,3.96,11.8,11.4,203.0,187.0,90.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3653.663031937884
40044,109429,2018-08-05,1476396879,11,3,322,Dry,Pregnant,20142.0,839.0,3.64,3.3,3.01,2.73,3.95,3.76,14.4,13.9,219.0,151.0,124.0,14.0,5.0,62.0,64.0,14.0,309.0,0.0,5167.445446796557
40112,109513,2018-08-05,1476396978,11,2,270,Dry,Pregnant,13802.0,575.0,4.05,3.86,3.33,3.38,4.3,4.1,11.3,10.8,191.0,148.0,92.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4908.327527456201
40156,109566,2018-08-05,1476397042,11,4,311,Dry,Pregnant,16793.0,699.0,3.37,3.66,3.35,3.37,4.4,4.36,10.6,10.2,201.0,138.0,115.0,46.0,3.0,128.0,80.0,8.0,385.0,0.0,5701.430335279577
40313,109761,2018-08-05,1476397273,11,1,297,Dry,Pregnant,16377.0,682.0,4.42,4.04,3.46,3.32,4.48,4.09,9.3,9.3,200.0,182.0,175.0,-1.0,4.0,63.0,57.0,20.0,252.0,0.0,5151.289477796646
40711,110271,2018-09-05,9079,11,2,317,Dry,Pregnant,6661.0,277.0,3.67,3.59,2.94,2.99,3.54,3.84,11.4,11.6,129.0,197.0,301.0,184.0,12.0,52.0,44.0,30.0,622.0,0.0,1925.5320622927104
41330,111015,2018-09-05,1476396879,11,3,322,Dry,Pregnant,7243.0,301.0,3.41,3.21,2.85,2.65,3.69,3.77,14.1,14.0,130.0,154.0,335.0,207.0,12.0,44.0,37.0,50.0,526.0,,1688.9332370317577
41399,111099,2018-09-05,1476396978,11,2,270,Dry,Pregnant,9173.0,382.0,4.02,3.86,3.21,3.43,4.26,4.11,10.7,10.8,149.0,142.0,234.0,185.0,8.0,69.0,35.0,38.0,553.0,0.0,2289.575445658242
41444,111152,2018-09-05,1476397042,11,4,311,Dry,Pregnant,8542.0,355.0,3.9,3.63,3.27,3.38,4.34,4.37,10.0,10.2,138.0,134.0,263.0,242.0,8.0,98.0,54.0,23.0,781.0,0.0,2261.696616316551
41601,111347,2018-09-05,1476397273,11,1,297,Dry,Pregnant,9607.0,400.0,4.2,4.36,3.56,3.54,4.35,4.31,10.3,9.4,202.0,192.0,255.0,66.0,8.0,71.0,40.0,40.0,568.0,0.0,3390.65250873799
48094,119432,2018-05-15,3331,11,2,369,Dry,Pregnant,19588.0,816.0,3.39,3.23,3.07,2.99,4.03,3.89,9.8,9.6,233.0,142.0,123.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3611.6383197800096
48286,119680,2018-05-15,8217,11,3,406,Dry,Pregnant,19280.0,803.0,3.72,3.84,2.94,2.93,4.3,4.11,11.8,10.9,151.0,143.0,102.0,20.0,4.0,80.0,66.0,11.0,318.0,0.0,4265.169729894894
48368,119795,2018-05-15,9040,11,2,280,Dry,Pregnant,14746.0,614.0,3.06,3.54,2.79,2.77,3.85,4.08,14.4,12.3,149.0,147.0,146.0,78.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3184.964403853505
48422,119871,2018-05-15,9312,11,2,229,Dry,Pregnant,12437.0,518.0,3.62,3.53,3.08,3.2,4.21,4.18,13.9,12.5,159.0,169.0,93.0,45.0,5.0,76.0,80.0,6.0,382.0,0.0,4329.5263533323
48959,120491,2018-05-15,1476396815,11,1,272,Dry,Pregnant,17803.0,741.0,3.11,3.39,2.5,2.74,3.99,4.05,11.5,10.7,232.0,176.0,155.0,-7.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3095.2303309129447
49178,120755,2018-05-15,1476397120,11,1,262,Dry,Pregnant,15531.0,647.0,4.94,4.64,3.3,3.32,4.35,4.47,9.2,8.7,210.0,179.0,218.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3838.1542545706434
49402,121023,2018-05-16,3331,11,2,369,Dry,Pregnant,11763.0,490.0,3.53,3.23,3.15,2.95,3.94,4.0,9.9,9.6,140.0,145.0,324.0,184.0,8.0,79.0,45.0,39.0,631.0,0.0,2538.200699921404
49594,121271,2018-05-16,8217,11,3,406,Dry,Pregnant,10316.0,429.0,4.01,3.89,2.96,2.88,4.32,4.23,11.6,10.5,134.0,141.0,303.0,248.0,8.0,70.0,39.0,37.0,562.0,0.0,2799.7031202389176
49677,121386,2018-05-16,9040,11,2,280,Dry,Pregnant,10682.0,445.0,3.29,3.53,2.78,2.77,4.1,4.16,13.0,11.9,131.0,142.0,223.0,151.0,7.0,72.0,35.0,46.0,505.0,,2730.749559547826
49731,121462,2018-05-16,9312,11,2,229,Dry,Pregnant,9228.0,384.0,3.63,3.7,3.31,3.25,3.85,4.28,13.5,12.3,190.0,166.0,191.0,173.0,13.0,66.0,57.0,16.0,856.0,0.0,2471.0044093662773
50268,122083,2018-05-16,1476396815,11,1,272,Dry,Pregnant,8154.0,339.0,5.52,3.44,2.76,2.71,4.05,4.26,10.6,10.8,225.0,189.0,334.0,107.0,16.0,40.0,44.0,42.0,640.0,,2442.0136211948698
50489,122347,2018-05-16,1476397120,11,1,262,Dry,Pregnant,8508.0,354.0,5.78,4.63,3.29,3.35,4.31,4.54,9.0,8.7,176.0,189.0,378.0,67.0,7.0,51.0,25.0,110.0,354.0,0.0,2535.403820458436
58550,132174,2018-05-23,3388,11,2,303,Dry,Pregnant,11149.0,464.0,4.88,4.27,3.39,3.29,4.22,4.36,9.8,9.9,154.0,155.0,244.0,81.0,3.0,99.0,60.0,40.0,297.0,0.0,2667.773980569621
58718,132392,2018-05-23,8010,11,4,249,Dry,Pregnant,8316.0,346.0,3.85,3.97,3.41,3.3,4.37,4.39,10.5,10.0,170.0,149.0,237.0,87.0,6.0,68.0,73.0,25.0,409.0,0.0,2631.6800511477186
58749,132438,2018-05-23,8558,11,3,285,Dry,Pregnant,10946.0,456.0,3.59,2.81,2.7,2.54,3.83,3.77,12.7,12.9,215.0,195.0,355.0,290.0,4.0,58.0,47.0,50.0,234.0,0.0,2164.743060641562
58834,132544,2018-05-23,9104,11,2,217,Dry,Pregnant,10368.0,432.0,4.39,4.12,2.99,3.03,4.63,4.66,11.4,10.2,172.0,158.0,232.0,123.0,4.0,89.0,81.0,22.0,355.0,0.0,3043.52723643646
58855,132578,2018-05-23,9204,11,2,249,Dry,Pregnant,11039.0,459.0,3.56,3.73,3.07,3.11,4.34,4.52,11.5,11.4,174.0,152.0,303.0,144.0,6.0,42.0,53.0,53.0,253.0,0.0,2918.9822399585823
75762,152939,2018-05-06,604,11,1,239,Dry,Pregnant,16413.0,683.0,4.18,3.86,3.1,3.14,4.38,4.4,9.7,9.9,135.0,146.0,141.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4559.608614164421
75913,153138,2018-05-06,6379,11,1,386,Dry,Pregnant,12251.0,510.0,4.6,4.25,3.37,3.48,4.3,4.22,9.3,8.9,129.0,126.0,197.0,17.0,3.0,78.0,49.0,20.0,235.0,0.0,4313.27220936901
76098,153375,2018-05-06,9134,11,2,285,Dry,Pregnant,16544.0,689.0,3.77,3.6,3.11,3.19,4.28,4.22,11.8,10.8,169.0,152.0,120.0,-1.0,6.0,44.0,56.0,18.0,267.0,0.0,4829.551884516731
76102,153381,2018-05-06,9149,11,2,249,Dry,Pregnant,13149.0,547.0,3.2,2.65,2.53,2.59,3.56,3.36,16.0,13.4,129.0,128.0,157.0,15.0,14.0,56.0,54.0,22.0,778.0,0.0,3210.3954144015725
76125,153418,2018-05-06,9281,11,2,253,Dry,Pregnant,20421.0,850.0,3.34,3.46,3.38,2.5,4.24,2.91,12.3,11.4,168.0,140.0,184.0,66.0,4.0,59.0,49.0,22.0,237.0,0.0,3697.274954476365
77084,154523,2018-06-06,604,11,1,239,Dry,Pregnant,9572.0,398.0,4.4,3.93,3.11,3.16,4.18,4.42,10.0,9.7,129.0,150.0,233.0,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2360.0642416345822
77234,154722,2018-06-06,6379,11,1,386,Dry,Pregnant,6830.0,284.0,4.54,4.26,3.58,3.44,4.01,4.2,9.0,8.9,126.0,127.0,217.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2120.3671100413294
77419,154959,2018-06-06,9134,11,2,285,Dry,Pregnant,7883.0,328.0,3.89,3.59,3.2,3.2,4.15,4.22,10.5,10.9,169.0,157.0,282.0,131.0,7.0,45.0,31.0,59.0,315.0,0.0,2489.655601565214
77423,154965,2018-06-06,9149,11,2,249,Dry,Pregnant,7509.0,312.0,3.59,2.81,2.89,2.65,3.87,3.47,12.2,13.2,175.0,128.0,217.0,54.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1905.9888258866408
77447,155002,2018-06-06,9281,11,2,253,Dry,Pregnant,13904.0,579.0,4.18,2.91,3.36,2.22,4.29,2.64,11.3,11.5,288.0,135.0,275.0,131.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2841.4147668331734
85290,164386,2018-12-06,8588,11,2,369,Dry,Pregnant,17896.0,745.0,3.35,3.0,2.86,2.34,4.41,3.61,12.4,12.2,214.0,175.0,127.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4191.954116244713
85388,164513,2018-12-06,9171,11,2,362,Dry,Pregnant,18117.0,754.0,3.85,3.72,3.14,2.97,4.48,4.26,11.2,10.5,131.0,135.0,146.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5146.7116425158765
85398,164527,2018-12-06,9221,11,2,302,Dry,Pregnant,12359.0,514.0,3.66,3.67,2.74,2.81,4.25,4.17,13.7,13.5,136.0,133.0,102.0,10.0,5.0,57.0,53.0,19.0,285.0,0.0,2732.600841052966
86180,165423,2018-12-06,1476397099,11,2,430,Dry,Pregnant,16873.0,703.0,4.24,4.04,3.38,3.0,4.59,4.2,10.8,10.4,129.0,135.0,174.0,-1.0,6.0,46.0,58.0,23.0,276.0,0.0,5037.309869893691
86629,165985,2018-06-13,8588,11,2,369,Dry,Pregnant,9128.0,380.0,3.23,3.37,2.79,2.77,4.08,4.26,13.4,12.4,167.0,173.0,126.0,0.0,4.0,90.0,25.0,47.0,358.0,0.0,2362.455834830378
86727,166112,2018-06-13,9171,11,2,362,Dry,Pregnant,8517.0,354.0,3.89,3.5,3.1,2.83,4.35,4.07,12.5,10.5,151.0,131.0,265.0,60.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1938.203489948944
86737,166126,2018-06-13,9221,11,2,302,Dry,Pregnant,6364.0,265.0,3.97,3.61,2.84,2.78,4.13,4.12,13.5,13.7,131.0,132.0,123.0,27.0,12.0,67.0,48.0,23.0,805.0,0.0,1138.5748808368849
87519,167022,2018-06-13,1476397099,11,2,430,Dry,Pregnant,9322.0,388.0,4.55,3.99,3.23,2.97,4.46,4.2,10.5,10.4,126.0,130.0,298.0,78.0,9.0,37.0,24.0,88.0,330.0,0.0,2148.683153132434
94407,175318,2018-06-19,4297,11,2,495,Dry,Pregnant,17721.0,738.0,3.58,3.35,2.78,3.12,4.29,4.11,13.4,12.3,171.0,143.0,105.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4958.733821376972
94686,175669,2018-06-19,9098,11,2,272,Dry,Pregnant,19326.0,805.0,4.27,3.76,3.3,3.26,4.19,3.89,10.6,10.0,166.0,151.0,142.0,54.0,3.0,109.0,68.0,11.0,327.0,0.0,5275.852385837202
94705,175706,2018-06-19,9203,11,2,307,Dry,Pregnant,17529.0,730.0,3.33,2.9,3.0,2.8,4.07,3.79,10.3,11.2,178.0,172.0,175.0,90.0,5.0,78.0,84.0,7.0,391.0,0.0,5030.9855417271065
95317,176410,2018-06-19,1476396875,11,4,268,Dry,Pregnant,5131.0,213.0,3.34,3.47,3.02,3.18,3.4,3.32,12.7,12.3,130.0,127.0,122.0,16.0,3.0,76.0,42.0,18.0,228.0,0.0,1627.5025165674624
95754,176922,2018-06-20,4297,11,2,495,Dry,Pregnant,7945.0,621.0,3.44,3.35,3.03,3.23,3.83,4.17,12.5,11.9,131.0,151.0,248.0,153.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4987.6740360007725
96036,177273,2018-06-20,9098,11,2,272,Dry,Pregnant,7300.0,656.0,4.77,3.88,3.36,3.45,4.2,4.14,10.2,10.1,180.0,145.0,273.0,221.0,6.0,98.0,41.0,37.0,586.0,0.0,4951.959033931434
96055,177310,2018-06-20,9203,11,2,307,Dry,Pregnant,7264.0,737.0,3.19,2.91,2.77,2.83,3.83,3.77,12.2,11.1,157.0,172.0,216.0,114.0,7.0,69.0,34.0,45.0,484.0,0.0,3696.767686247496
96670,178015,2018-06-20,1476396875,11,4,268,Dry,Pregnant,3211.0,208.0,4.13,3.4,2.92,3.35,3.69,3.49,12.8,12.2,129.0,128.0,164.0,56.0,5.0,72.0,25.0,37.0,361.0,,1058.1828000010123
104120,186975,2018-06-26,9257,11,2,301,Dry,Pregnant,17425.0,726.0,3.57,3.33,3.14,3.16,4.06,4.15,11.6,10.5,129.0,127.0,178.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3524.7639629760843
105474,188583,2018-06-27,9257,11,2,301,Dry,Pregnant,6141.0,255.0,3.04,3.38,2.95,3.08,3.88,4.26,11.6,10.5,127.0,127.0,250.0,84.0,12.0,76.0,49.0,32.0,911.0,,1982.3887049297985
113422,198027,2018-03-07,8039,11,4,249,Dry,Pregnant,9077.0,230.0,3.9,3.73,3.16,3.3,4.54,4.53,10.2,9.9,131.0,136.0,217.0,51.0,10.0,64.0,52.0,28.0,643.0,0.0,1476.3448113624831
113552,198204,2018-03-07,9188,11,2,345,Dry,Pregnant,21066.0,877.0,4.09,4.09,3.35,3.29,4.45,4.49,10.7,9.9,207.0,145.0,132.0,47.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,5767.250634832276
113563,198224,2018-03-07,9260,11,2,288,Dry,Pregnant,23094.0,719.0,2.53,3.03,2.48,2.9,3.74,4.38,11.9,11.3,131.0,136.0,162.0,50.0,8.0,45.0,90.0,18.0,357.0,0.0,4479.419348755753
113571,198236,2018-03-07,9309,11,2,275,Dry,Pregnant,22030.0,656.0,3.62,3.57,3.04,3.02,4.31,4.26,13.2,11.8,178.0,153.0,183.0,120.0,8.0,47.0,91.0,20.0,378.0,0.0,4202.7645276735575
114354,199124,2018-03-07,1476397114,11,2,255,Dry,Pregnant,18122.0,755.0,3.25,3.29,3.04,2.89,4.05,4.05,13.1,12.6,240.0,193.0,159.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4842.47290919732
114421,199203,2018-03-07,1476397212,11,2,325,Dry,Pregnant,15155.0,631.0,3.44,3.33,2.94,2.85,4.08,3.89,12.0,11.4,129.0,142.0,306.0,87.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4759.360135534393
114903,199806,2018-04-07,9188,11,2,345,Dry,Pregnant,9860.0,410.0,4.46,4.04,3.28,3.28,4.52,4.5,9.6,9.8,135.0,147.0,112.0,17.0,13.0,57.0,42.0,24.0,736.0,0.0,2142.3956407065702
114914,199826,2018-04-07,9260,11,2,288,Dry,Pregnant,8285.0,345.0,3.45,2.53,2.9,2.48,4.35,3.74,11.9,11.4,130.0,136.0,136.0,21.0,13.0,58.0,46.0,27.0,748.0,,1583.3478086838984
114922,199838,2018-04-07,9309,11,2,275,Dry,Pregnant,8405.0,350.0,3.44,3.62,2.9,3.04,4.19,4.31,12.8,11.8,211.0,159.0,126.0,52.0,16.0,58.0,56.0,18.0,920.0,0.0,2237.887381944204
115706,200724,2018-04-07,1476397114,11,2,255,Dry,Pregnant,8925.0,371.0,3.48,3.3,2.97,2.99,4.36,4.25,12.1,12.6,175.0,197.0,180.0,38.0,10.0,70.0,40.0,33.0,700.0,0.0,1866.5058136276327
115773,200803,2018-04-07,1476397212,11,2,325,Dry,Pregnant,7314.0,304.0,3.55,3.28,2.75,2.89,3.89,3.88,11.8,11.5,131.0,139.0,299.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1715.3008629252745
122589,208909,2018-10-07,870,11,1,283,Dry,Pregnant,17373.0,723.0,3.83,4.0,2.75,2.76,4.6,4.44,9.6,9.6,164.0,151.0,195.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,4220.427219540333
122857,209233,2018-10-07,8614,11,2,321,Dry,Pregnant,9675.0,403.0,2.54,2.63,2.8,2.74,3.86,3.97,15.0,13.3,131.0,138.0,137.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,2873.8087282832835
123037,209467,2018-10-07,9529,11,1,436,Dry,Pregnant,19579.0,815.0,4.2,3.93,3.26,3.07,4.67,4.46,10.0,9.7,193.0,168.0,176.0,3.0,5.0,33.0,35.0,40.0,165.0,0.0,5895.703282347389
123241,209731,2018-10-07,10808,11,1,243,Dry,Pregnant,16702.0,695.0,3.62,3.32,3.11,2.95,4.45,4.3,9.9,9.9,167.0,140.0,106.0,20.0,5.0,67.0,69.0,13.0,333.0,0.0,5314.85606943339
123727,210249,2018-10-07,1476397093,11,3,246,Dry,Pregnant,12295.0,512.0,3.65,3.69,3.16,3.12,4.49,4.38,10.8,11.3,130.0,207.0,201.0,32.0,5.0,46.0,43.0,30.0,228.0,0.0,2667.240154545096
123795,210329,2018-10-07,1476397192,11,4,260,Dry,Pregnant,16485.0,686.0,3.35,3.13,2.94,2.9,4.38,4.09,11.0,10.5,140.0,151.0,181.0,52.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,3825.494537044783
123935,210496,2018-11-07,870,11,1,283,Dry,Pregnant,9009.0,375.0,4.23,4.0,2.73,2.78,4.37,4.48,9.5,9.4,142.0,153.0,232.0,33.0,8.0,69.0,38.0,41.0,550.0,0.0,1633.2578985008267
124204,210820,2018-11-07,8614,11,2,321,Dry,Pregnant,8343.0,347.0,3.18,2.57,2.95,2.71,3.84,4.03,14.1,12.6,126.0,129.0,123.0,35.0,8.0,102.0,46.0,26.0,820.0,0.0,1780.4246633760877
124384,211054,2018-11-07,9529,11,1,436,Dry,Pregnant,2922.0,121.0,4.98,3.93,3.2,3.11,4.78,4.43,9.2,9.7,130.0,167.0,285.0,55.0,7.0,54.0,26.0,68.0,378.0,,962.1412572083108
124589,211318,2018-11-07,10808,11,1,243,Dry,Pregnant,7553.0,314.0,3.87,3.31,2.96,2.89,4.44,4.25,10.0,9.7,144.0,148.0,221.0,148.0,13.0,45.0,41.0,34.0,583.0,0.0,1643.37897836251
